numero;categoria;tema;question;answer1;answer2;answer3;answer4;solution;feedback
11;Conocimientos Generales;Estatuto de Roma Corte Penal Internacional;¿Cuál NO es una Sección de los órganos de la Corte?;La de Instrucción;La de Apelaciones;La de Primera Instancia;La de Cuestiones Preliminares;1;La respuesta correcta es la a, puesto que la 'Sección de Instrucción' no es uno de los órganos judiciales enumerados en el Estatuto de Roma. Las opciones b, c y d se descartan por ser secciones que sí integran la Corte: Apelaciones, Primera Instancia y Cuestiones Preliminares.
12;Conocimientos Generales;LO Cooperación Corte Penal Internacional;Si España recibiere invitación como amicus curiae, quién consultará con el Ministerio;Fiscal General del Estado;Ministerio de la Presidencia, Justicia y Relaciones con las Cortes;Ministerio Fiscal;Gobierno;2;La respuesta correcta es la b, ya que la Ley Orgánica de Cooperación con la CPI estipula que, ante una invitación para participar como amicus curiae, se consultará con el Ministerio de la Presidencia, Justicia y Relaciones con las Cortes. Las opciones a, c y d son incorrectas al proponer la consulta con el Fiscal General, el Ministerio Fiscal o el Gobierno de forma genérica.
13;Conocimientos Generales;Reglamento Defensor del Pueblo;Consejo Asesor del Mecanismo Nacional de Prevención de Tortura. Opción CORRECTA.;Es un órgano de cooperación técnica y jurídica;Corresponde al Adjunto hacer designación de Vocales;Integrado por Adjuntos como miembros natos, máximo 15 Vocales;Se reunirá al menos una vez al año;1;La respuesta correcta es la a, pues el Consejo Asesor es definido como un órgano de cooperación técnica y jurídica del Mecanismo Nacional de Prevención. Las opciones b, c y d son incorrectas al errar en quién designa a los vocales, el número máximo de estos o la periodicidad mínima de sus reuniones.
14;Conocimientos Generales;LO igualdad efectiva mujeres y hombres;Normas Fuerzas Armadas procurarán igualdad en régimen de...;Personal, destinos, ascensos, permisos y situaciones administrativas;Clases pasivas, ascensos, pabellones, destinos y permisos;Acceso, formación, ascensos, destinos y situaciones administrativas;Selección, formación, destinos, permisos y ascensos;3;La respuesta correcta es la c, ya que la Ley Orgánica 3/2007 señala específicamente el acceso, formación, ascensos, destinos y situaciones administrativas como los ámbitos de efectividad de la igualdad en las FFAA. Las opciones a, b y d se descartan por incluir términos inexactos o no previstos en ese artículo concreto.
15;Conocimientos Generales;LO igualdad efectiva mujeres y hombres;¿En qué ámbitos aplicable en Fuerzas y Cuerpos de Seguridad?;En materia de igualdad;En prevención de violencia de género y violencia sexual;En conciliación vida personal, familiar y profesional;En todos los referidos en opciones anteriores;4;La respuesta correcta es la d, ya que las normas de personal se aplican a las FFCCS en materia de igualdad, prevención de violencia de género y conciliación de la vida personal y profesional. Las opciones a, b y c son correctas de forma individual pero incompletas frente a la opción d que las agrupa.
16;Conocimientos Generales;Ley Prevención Riesgos Laborales;Se entenderá como _____ cualquier característica que influya en generación de riesgos;Riesgo laboral;Condición de trabajo;Riesgo en el trabajo;Proceso potencialmente peligroso;2;La respuesta correcta es la b, puesto que la Ley de Prevención de Riesgos Laborales define como condición de trabajo cualquier característica del mismo con influencia en la generación de riesgos. Las opciones a, c y d no coinciden con la definición técnica exacta del Artículo 4 de dicha ley.
17;Conocimientos Generales;RD prevención riesgos AGE;¿Quién realizará coordinación general de prevención en AGE?;Delegación o Subdelegación del Gobierno;Comité de Seguridad y Salud;Ministerio de Sanidad;Dirección General de la Función Pública;4;La respuesta correcta es la d, debido a que el Real Decreto asigna a la Dirección General de la Función Pública la coordinación general de la prevención y la formación en la AGE. Las opciones a, b y c proponen otros órganos sin esta competencia específica de coordinación administrativa central.
18;Conocimientos Generales;RD prevención riesgos Guardia Civil;Su contenido se inspira en principio relativo a...;Promoción salud e higiene en trabajo;Integración de la prevención;Cooperación entre Administraciones;Promoción de la seguridad;2;La respuesta correcta es la b, ya que el Real Decreto 179/2005 establece que su contenido se inspira en el principio de integración de la prevención. Las opciones a, c y d mencionan objetivos generales pero no el principio rector de integración citado en el objeto del decreto.
19;Conocimientos Generales;Constitución Española;Es un derecho fundamental...;Libertad de cátedra;Propiedad privada y herencia;Protección de la salud;Disfrutar de medio ambiente adecuado;1;La respuesta correcta es la a, puesto que la libertad de cátedra (Art. 20) es un derecho fundamental por su ubicación en la Sección 1.ª del Capítulo II del Título I. Las opciones b, c y d corresponden a derechos de la Sección 2.ª o a principios rectores con un nivel de protección inferior.
20;Conocimientos Generales;Constitución Española;¿De cuál NO se podrá recabar tutela mediante Recurso de Amparo?;Fundación para fines de interés general;Producción y creación literaria, artística, científica y técnica;Elegir libremente residencia y circular por territorio nacional;Derecho a la educación;1;La respuesta correcta es la a, debido a que el derecho de fundación (Art. 34) no está incluido en el catálogo de derechos susceptibles de recurso de amparo ante el Tribunal Constitucional. Las opciones b, c y d se descartan porque la creación literaria, la libre circulación y el derecho a la educación sí están protegidos por este recurso.
21;Conocimientos Generales;Constitución Española;Principios rectores política social y económica. Proposición INCORRECTA.;Impulsarán políticas autonomía personal personas con discapacidad;Régimen Seguridad Social, especialmente acceso a sanidad;Protección integral hijos, protección madres;Protección social, económica y jurídica de la familia;2;"La respuesta correcta es la b, ya que es la proposición incorrecta al afirmar que la Seguridad Social garantiza especialmente el 'acceso a la sanidad'; el Artículo 41 se centra en prestaciones ante situaciones de necesidad como el desempleo. Las opciones a, c y d son correctas al citar principios de inclusión de personas con discapacidad y protección de la familia e hijos."
22;Conocimientos Generales;Constitución Española;La institución del Defensor del Pueblo está regulada por...;Real Decreto;Ley Ordinaria;Real Decreto-Ley;Ley Orgánica;4;La respuesta correcta es la d, pues el Artículo 54 de la Constitución establece expresamente que el Defensor del Pueblo se regulará mediante una Ley Orgánica. Las opciones a, b y c sugieren rangos normativos insuficientes para esta institución constitucional.
23;Conocimientos Generales;Constitución Española;¿Cuál es una competencia del Gobierno?;Convocar elecciones;Dirigir Administración Civil y Militar y defensa del Estado;Aprobar presupuestos del Estado;Convocar a referéndum;2;La respuesta correcta es la b, ya que el Artículo 97 de la Constitución atribuye al Gobierno la dirección de la Administración civil y militar y la defensa del Estado. Las opciones a, c y d son incorrectas porque convocar elecciones o referéndum y aprobar presupuestos son competencias de la Corona o las Cortes.
24;Conocimientos Generales;Constitución Española;Responsabilidad criminal miembros Gobierno por traición, planteada por...;Mayoría absoluta miembros del Congreso;Cuarta parte miembros Cortes Generales;Mayoría absoluta miembros del Senado;Cuarta parte miembros del Congreso;4;La respuesta correcta es la d, puesto que la iniciativa para plantear la responsabilidad criminal de miembros del Gobierno por traición requiere de la cuarta parte de los miembros del Congreso. La opción a es incorrecta porque la mayoría absoluta es necesaria para la aprobación, no para la iniciativa, y las opciones b y c mencionan órganos o proporciones erróneas.
25;Conocimientos Generales;LO Defensor del Pueblo;Opción INCORRECTA.;Alto comisionado Cortes Generales para defensa derechos Título I;Se dirigirá a través de Presidentes Congreso y Senado;Elegido para período de cinco años;Podrá ser elegido cualquier español mayor de edad;4;La respuesta correcta es la d, ya que el Artículo 3 de su Ley Orgánica establece que cualquier español mayor de edad en pleno disfrute de sus derechos civiles y políticos puede ser elegido Defensor del Pueblo. Las opciones a, b y c son correctas en sus afirmaciones y, por tanto, incorrectas como respuesta a lo que se pregunta.
26;Conocimientos Generales;LO protección honor, intimidad e imagen;Señale opción INCORRECTA.;Derechos tienen rango de fundamentales;Derechos considerados absolutamente ilimitados;Imperativos interés público pueden autorizar entradas en intimidad;Ley fija cauce legal para defensa;2;"La respuesta correcta es la b, puesto que es la proposición incorrecta; los derechos al honor, intimidad e imagen no son absolutos, sino que están delimitados por las leyes y los usos sociales. Las opciones a, c y d reflejan correctamente el rango fundamental de estos derechos y los cauces para su defensa o limitación legítima."
27;Conocimientos Generales;Tratado Unión Europea;¿Conforme a qué principio Unión y Estados se respetarán mutuamente?;Reciprocidad;Subsidiariedad;Atribución;Cooperación leal;4;La respuesta correcta es la d, debido a que el Artículo 4.3 del TUE define la cooperación leal como el principio de respeto y asistencia mutua en el cumplimiento de los Tratados. Las opciones a, b y c son principios que rigen otros aspectos competenciales pero no definen la asistencia mutua.
28;Conocimientos Generales;Tratado Unión Europea;Principios delimitación y ejercicio competencias UE. Opción CORRECTA.;Ejercicio competencias se rige por principio de atribución;Instituciones aplicarán principio de subsidiariedad;En virtud de atribución, contenido no excederá de lo necesario;En virtud de subsidiariedad, Unión actúa dentro de límites;2;"La respuesta correcta es la b, ya que el Tratado de la Unión Europea especifica que las instituciones aplicarán el principio de subsidiariedad conforme al protocolo homónimo. La opción a es incompleta; la c define la proporcionalidad erróneamente como atribución; y la d confunde subsidiariedad con atribución."
29;Conocimientos Generales;Tratado Funcionamiento UE;Cuestión sobre interpretación Tratados ante órgano jurisdiccional...;Podrá someter al Tribunal si lo entiende conveniente;Deberá someter al Tribunal de Estrasburgo si depende del fallo;Podrá pedir al TJUE que se pronuncie si estima necesario;Deberá en todo caso someter al TJUE;3;La respuesta correcta es la c, puesto que el Artículo 267 del TFUE faculta a los órganos jurisdiccionales nacionales para pedir una decisión prejudicial al TJUE si la estiman necesaria para su fallo. Las opciones a, b y d yerran en la denominación del tribunal o en el carácter facultativo u obligatorio de la remoción.
30;Conocimientos Generales;Tratado Funcionamiento UE - Actos jurídicos;Un Reglamento es...;Acto no vinculante, alcance general y directamente aplicable;Acto vinculante, alcance singular y directamente aplicable;Acto no vinculante que establece objetivos;Acto vinculante, obligatorio en todos elementos, alcance general y directamente aplicable;4;La respuesta correcta es la d, ya que el Reglamento se define como un acto obligatorio en todos sus elementos, de alcance general y directamente aplicable. Las opciones a, b y c son incorrectas al proponer que no es vinculante, que tiene alcance singular o que solo establece objetivos.
31;Conocimientos Generales;Instituciones Internacionales - ONU;Señale la opción CORRECTA.;Las Naciones Unidas nacieron el 24 de octubre de 1935;Estados admitidos por decisión del Consejo de Seguridad;Secretario General nombrado por Asamblea por recomendación CS, período renovable de 4 años;Sistema ONU formado por Organización y numerosas organizaciones afiliadas;4;La respuesta correcta es la d, pues el Sistema de las Naciones Unidas engloba a la propia Organización y a sus programas, fondos y agencias especializadas. Las opciones a, b y c contienen errores sobre la fecha de fundación, el proceso de admisión de miembros o la duración del mandato del Secretario General.
32;Conocimientos Generales;Instituciones Internacionales - Consejo de Europa;Señale la opción INCORRECTA.;Comité de Ministros es órgano ejecutivo, integrado por Ministros del Interior o representantes;Todos los Estados miembros han suscrito Convenio Europeo de Derechos Humanos;Principal organización del continente dedicada a defensa de derechos humanos;Secretario General elegido por Asamblea Parlamentaria para mandato de 5 años;1;"La respuesta correcta es la a, ya que es la proposición incorrecta al afirmar que el Comité de Ministros incluye a los Ministros del Interior; en realidad, está compuesto por los Ministros de Asuntos Exteriores. Las opciones b, c y d son afirmaciones correctas sobre el CEDH, la misión de la organización y la elección de su Secretario."
33;Conocimientos Generales;Instituciones Internacionales - Unión Europea;¿Cuál de los siguientes países NO forma parte de la UE?;Lituania;Noruega;Eslovenia;Letonia;2;La respuesta correcta es la b, puesto que Noruega no forma parte de la Unión Europea. Las opciones a, c y d mencionan países que sí son Estados miembros (Lituania, Eslovenia y Letonia).
34;Conocimientos Generales;Instituciones Internacionales - OTAN;¿Cuántos países son miembros de la OTAN?;32;35;30;34;1;La respuesta correcta es la a, debido a que actualmente la OTAN está integrada por 32 países miembros. Las opciones b, c y d proponen cifras que no se corresponden con la realidad actual de la alianza.
35;Conocimientos Generales;Instituciones Internacionales - FAO;Entre órganos rectores está la Conferencia. Este órgano celebra período ordinario de sesiones...;Cada año;Cada tres años;Cada dos años;Cada seis meses;3;La respuesta correcta es la c, ya que la Conferencia de la FAO se reúne en período ordinario de sesiones cada dos años. Las opciones a, b y d proponen periodicidades distintas a la establecida en los textos rectores del organismo.
36;Conocimientos Generales;Código Civil - Alimentos entre parientes;Señale la opción INCORRECTA.;Alimentos: todo indispensable para sustento, habitación, vestido y asistencia médica;Entre alimentos se incluirán gastos embarazo y parto, aun estando cubiertos de otro modo;Alimentos comprenden educación e instrucción del alimentista mientras sea menor de edad;Alimentos comprenden educación aún después minoría edad cuando no haya terminado formación por causa que no le sea imputable;2;"La respuesta correcta es la b, puesto que es la proposición incorrecta; el Código Civil establece que los gastos de embarazo y parto se incluyen en los alimentos solo si no están cubiertos de otro modo. Las opciones a, c y d reflejan correctamente el concepto amplio de alimentos y su extensión educativa."
37;Conocimientos Generales;Código Civil - Guarda y acogimiento menores;Acogimiento familiar. Proposición INCORRECTA.;Acogimiento permanente: al finalizar 2 años de temporal o directamente en casos especiales;Acogimiento familiar: en familia extensa o ajena, pudiendo ser especializado;Acogimiento urgencia, menores de 6 años, duración no superior a seis meses;Acogimiento temporal, carácter transitorio, duración máxima de dos años;4;La respuesta correcta es la d, ya que el acogimiento familiar temporal tiene carácter transitorio y una duración máxima establecida de dos años. Las opciones a, b y c describen correctamente otros tipos de acogimiento pero no son la respuesta correcta en este contexto.
38;Conocimientos Generales;Código Civil - Delación tutela y nombramiento tutor;Autoridad judicial podrá decretar remoción tutela a solicitud persona menor si tiene suficiente madurez. Será tenida en cuenta opinión si fuere mayor de...;Diez años;Once años;Doce años;Nueve años;3;La respuesta correcta es la c, pues el Código Civil obliga a dar audiencia al menor en procesos de remoción de tutela si este fuera mayor de doce años. Las opciones a, b y d proponen umbrales de edad inferiores que no activan la obligatoriedad legal de audiencia.
39;Conocimientos Generales;Código Civil - Mayor edad y emancipación;Menor que hubiere obtenido judicialmente emancipación. Proposición CORRECTA.;Puede gravar o enajenar bienes inmuebles sin consentimiento progenitores;No puede por sólo comparecer en juicio;Puede tomar dinero a préstamo sin consentimiento progenitores;No puede enajenar objetos de valor sin consentimiento progenitores y, a falta de ambos, sin defensor judicial;4;La respuesta correcta es la d, debido a que el menor emancipado judicialmente no puede por sí solo enajenar objetos de extraordinario valor sin el consentimiento de sus progenitores o defensor. Las opciones a, b y c son incorrectas porque la ley le prohíbe realizar tales actos o tomar dinero a préstamo sin dichos apoyos.
40;Conocimientos Generales;LO Código Penal - Infracción penal;Señale la opción INCORRECTA.;Error invencible sobre ilicitud del hecho excluye responsabilidad criminal. Si fuera vencible, se aplicará pena inferior en grado;Error sobre hecho que cualifique infracción o sobre circunstancia agravante, impedirá su apreciación;Error sobre circunstancia atenuante no impedirá su apreciación;Son incorrectas las opciones a) y c);1;La respuesta correcta es la a, ya que el error invencible sobre la ilicitud del hecho excluye la responsabilidad criminal según el Código Penal. Las opciones b, c y d son incorrectas basándose en la plantilla oficial proporcionada.
41;Conocimientos Generales;LO Código Penal - Circunstancias que agravan;¿Cuál NO se considera circunstancia agravante?;Prevalerse del carácter público o privado que tenga el culpable;Ejecutar el hecho con alevosía;Obrar con abuso de confianza;Ser reincidente;2;"La respuesta correcta es la b, puesto que prevalerse del carácter público o privado no es la redacción exacta de la agravante; el Código Penal solo considera agravante prevalerse del carácter público. Las opciones a, c y d son circunstancias agravantes reales: reincidencia, alevosía y abuso de confianza."
42;Conocimientos Generales;LO Código Penal - Personas criminalmente responsables;Los que realizan el hecho por medio de otro del que se sirven como instrumento son...;Cómplices;Autores;Inductores;Cooperadores;2;La respuesta correcta es la b, ya que se considera autores a quienes realizan el hecho por medio de otro del que se sirven como instrumento. Las opciones a, c y d corresponden a cómplices, inductores o cooperadores, que son figuras distintas a la autoría mediata descrita.
43;Conocimientos Generales;LO Código Penal;¿Qué tipo de pena o medida de seguridad es la libertad vigilada?;Medida no privativa de libertad;Pena privativa de derechos;Medida privativa de libertad;Pena privativa de libertad;1;La respuesta correcta es la a, puesto que la libertad vigilada es legalmente una medida no privativa de libertad. Las opciones b, c y d yerran al calificarla como una pena o una medida privativa de libertad.
44;Conocimientos Generales;LO Código Penal;El que solicitare favores de naturaleza sexual, para sí o tercero, en ámbito laboral, continuada o habitual, hostil o humillante será castigado como...;Acoso sexual;Agresión sexual;Acto vejatorio;Abuso sexual;1;La respuesta correcta es la a, debido a que solicitar favores sexuales en el ámbito laboral provocando una situación hostil u humillante constituye el delito de acoso sexual. Las opciones b, c y d se refieren a otras figuras penales que no encajan con la descripción técnica.
45;Conocimientos Generales;Ley Enjuiciamiento Criminal - La denuncia;De las siguientes personas que presenciaron delito contra la vida en que víctima era persona menor. ¿Quiénes están obligados a denunciar?;Los impúberes;Parientes colaterales del delincuente hasta segundo grado inclusive;Quien sea cónyuge del delincuente o persona unida por relación de afectividad;Los descritos en opciones b) y c);4;La respuesta correcta es la d, que engloba a parientes y cónyuges que, al presenciar un delito contra la vida de un menor, están obligados a denunciar según la LECrim. La opción a es incorrecta porque los impúberes están exentos de esta obligación general.
46;Conocimientos Generales;Ley Enjuiciamiento Criminal;Policía Judicial en investigaciones delincuencia organizada. ¿Quién otorga identidad supuesta al agente encubierto y por cuánto tiempo?;Ministerio Presidencia, Justicia y Relaciones con Cortes, 3 meses prorrogables por períodos iguales;Juez de Instrucción, oído Ministerio Fiscal, 6 meses;Ministerio del Interior, 6 meses prorrogables por períodos iguales;Ministerio Fiscal, dando cuenta al Juez, 3 meses prorrogable una única vez;3;La respuesta correcta es la c, ya que el Ministerio del Interior otorga la identidad supuesta al agente encubierto por un plazo de seis meses prorrogables. Las opciones a, b y d yerran en la autoridad competente o en los plazos legales establecidos en la LECrim.
47;Conocimientos Generales;Ley Enjuiciamiento Criminal;Atestados y manifestaciones de funcionarios Policía judicial, se considerarán ______ para efectos legales.;Testimonios;Diligencias policiales;Denuncias;Declaraciones testificales;3;La respuesta correcta es la c, pues la Ley de Enjuiciamiento Criminal otorga a los atestados policiales el valor legal de denuncia. Las opciones a, b y d proponen otros valores como testimonios o diligencias que no corresponden al Artículo 297.
48;Conocimientos Generales;Ley Enjuiciamiento Criminal;Declaración de testigos. Señale opción CORRECTA.;Durante declaración testigo no podrá dictar contestaciones por sí mismo;Podrán consultar algún apunte o memoria con datos difíciles de recordar;Juez dejará al testigo narrar hechos, sólo le interrumpirá para dirigir preguntas oportunas;Testigos declararán de viva voz, permitiéndoles leer declaración o respuestas escritas;2;La respuesta correcta es la b, puesto que los testigos podrán consultar apuntes o memorias que contengan datos difíciles de recordar durante su declaración. Las opciones a, c y d contienen prohibiciones o permisos que no se ajustan a la regulación de la prueba testifical.
49;Conocimientos Generales;LO Procedimiento Habeas Corpus;Según Exposición de Motivos, ¿cuál es objetivo fundamental del constitucionalismo moderno?;Reconocimiento y protección de vida y libertad de ciudadanos;Compromiso de poderes públicos ante ciudadanos;Acceso a autoridad judicial con rapidez, sencillez y carencia formalismos;Establecer remedios eficaces para supuestos de detenciones no justificadas;1;La respuesta correcta es la a, ya que la Exposición de Motivos de la Ley de Habeas Corpus define el reconocimiento y protección de la vida y libertad como el objetivo fundamental del constitucionalismo. Las opciones b, c y d son finalidades o características operativas pero no la raíz última citada.
50;Conocimientos Generales;LO Poder Judicial;Sala de lo Penal Audiencia Nacional conocerá...;De todos procedimientos penales iniciados en extranjero y ejecución sentencias Tribunales extranjeros;De cuestiones de cesión de jurisdicción en materia penal derivadas de cumplimiento de tratados internacionales;En única instancia, de procesos sobre conflictos colectivos cuya resolución haya de surtir efecto en ámbito territorial superior al de Comunidad Autónoma;De recursos apelación contra resoluciones dictadas en primera instancia por Audiencias Provinciales;2;La respuesta correcta es la b, debido a que la Sala de lo Penal de la Audiencia Nacional conoce de las cuestiones de cesión de jurisdicción derivadas de tratados internacionales. Las opciones a, c y d atribuyen a esta sala competencias que no le corresponden según la LOPJ.
51;Conocimientos Generales;LO Poder Judicial;Abogados y Procuradores. Opción INCORRECTA.;En ejercicio de profesión, procuradores podrán ser sustituidos por oficial habilitado;Colegiación siempre obligatoria para actuar ante Juzgados y Tribunales;Abogados deberán guardar secreto, no pudiendo ser obligados a declarar;Abogados y Procuradores sujetos a responsabilidad civil, penal y disciplinaria;2;"La respuesta correcta es la b, puesto que es la proposición incorrecta; la colegiación es obligatoria para abogados y procuradores para actuar ante Juzgados y Tribunales. Las opciones a, c y d son correctas sobre la sustitución de procuradores, el secreto profesional y el régimen de responsabilidad."
52;Conocimientos Generales;RD regulación Policía Judicial;Unidades Orgánicas Policía Judicial corresponderá investigación criminal permanente y especial. Contarán con equipos...;De investigación judicial;De especialización delictual;De investigación superior;De especialistas en investigación judicial;2;La respuesta correcta es la b, ya que el Real Decreto de Policía Judicial prevé el establecimiento de equipos de especialización delictual según el ámbito de actuación. Las opciones a, c y d proponen nombres de equipos que no coinciden con la terminología oficial del reglamento.
53;Conocimientos Generales;Ley Estatuto de la víctima;Derechos de víctima como denunciante. ¿Qué derechos tiene toda víctima al presentar denuncia?;A asistencia lingüística gratuita y traducción escrita de copia de denuncia;A obtener copia de denuncia, debidamente certificada;A asistencia lingüística gratuita y traducción escrita de copia de denuncia, cuando no hable ninguna lengua oficial;A los descritos en opciones anteriores;4;La respuesta correcta es la d, puesto que la víctima tiene derecho a la asistencia lingüística, la traducción de la denuncia y a obtener copia certificada de la misma. Las opciones a, b y c son correctas pero incompletas al omitir el resto de derechos garantizados en ese momento.
54;Conocimientos Generales;Ley Procedimiento Administrativo Común;Registros electrónicos de apoderamientos. Poderes inscritos tendrán validez determinada máxima de _____ a contar desde fecha de inscripción.;Tres años;Un año;Cinco años;Diez años;3;La respuesta correcta es la c, debido a que los poderes inscritos en los registros electrónicos tendrán una validez máxima de cinco años desde la inscripción. Las opciones a, b y d proponen plazos de uno, tres o diez años que son erróneos según la Ley 39/2015.
55;Conocimientos Generales;Ley Procedimiento Administrativo Común;¿En cuál de las siguientes circunstancias recurso extraordinario de revisión se interpondrá dentro del plazo de 4 años siguientes a notificación de resolución impugnada?;Cuando al dictarlos se hubiera incurrido en error de hecho;Cuando aparezcan documentos de valor esencial posteriores;Cuando en resolución hayan influido esencialmente documentos o testimonios declarados falsos;Cuando se dictó como consecuencia de prevaricación, cohecho, violencia, maquinación fraudulenta u otra conducta punible y se haya declarado así;1;La respuesta correcta es la a, ya que el recurso extraordinario de revisión tiene un plazo de cuatro años si se fundamenta en un error de hecho resultante de los documentos del expediente. Las opciones b, c y d tienen plazos distintos de interposición vinculados a la aparición de nuevos documentos o sentencias firmes.
